# TABLA DE CARGA DE CONTINGENCIA — NO ES CFD
# Fuente: XFLR5 v6.61, metodo de paneles 3D, flujo potencial (inviscid)
# Geometria: doble cuna, Nalci & Kayran (2014), escala real x lambda=1.0
# Eje de bisagra: 50% cuerda de raiz
# Condicion de vuelo: nivel del mar, T=15C, rho=1.225 kg/m3
# LIMITACIONES:
#   - Sin viscosidad ni compresibilidad (Cm identico entre Mach, verificado)
#   - Solo 2 dimensiones: Mach y angulo TOTAL (no AoA/deflexion por separado)
#   - NO incluye velocidad angular de deflexion (XFLR5 es estatico/cuasi-estacionario)
#   - Factor de escala lambda=1.0 -- ver PENDIENTE en Geometria_Aleta_Referencia.md §5
#   - No cumple RNF-PRE-01 (no hay error de interpolacion respecto a CFD, no hay CFD de referencia)
#   - USO PREVISTO: prueba del pipeline de software (interpolacion, control), no caracterizacion real
# Ver: 04_CFD/02_Valores_Referencia_XFLR5.md, 04_CFD/01_Casos/01_Geometria_Aleta_Referencia.md
mach,angulo_deg,torque_bisagra_Nm,torque_bisagra_Nm_referencia_sin_escalar,lambda_escala_aplicado
0.4,-9.5,-1.2605282881215076,-1.2605282881215076,1.0
0.4,-9.25,-1.228514556633597,-1.228514556633597,1.0
0.4,-9.0,-1.196426489855854,-1.196426489855854,1.0
0.4,-8.75,-1.1642145309283896,-1.1642145309283896,1.0
0.4,-8.5,-1.131928236711093,-1.131928236711093,1.0
0.4,-8.25,-1.0995676072039635,-1.0995676072039635,1.0
0.4,-8.0,-1.067107863977057,-1.067107863977057,1.0
0.4,-7.75,-1.0345737854603183,-1.0345737854603183,1.0
0.4,-7.5,-1.0019653716537469,-1.0019653716537469,1.0
0.4,-7.25,-0.9692826225573428,-0.9692826225573428,1.0
0.4,-7.0,-0.9365255381711062,-0.9365255381711062,1.0
0.4,-6.75,-0.9036941184950368,-0.9036941184950368,1.0
0.4,-6.5,-0.8707883635291348,-0.8707883635291348,1.0
0.4,-6.25,-0.8378330517033445,-0.8378330517033445,1.0
0.4,-6.0,-0.8048034045877216,-0.8048034045877216,1.0
0.4,-5.75,-0.7717242006122101,-0.7717242006122101,1.0
0.4,-5.5,-0.7385954397768104,-0.7385954397768104,1.0
0.4,-5.25,-0.7053923436515781,-0.7053923436515781,1.0
0.4,-5.0,-0.6721396906664573,-0.6721396906664573,1.0
0.4,-4.75,-0.6388374808214482,-0.6388374808214482,1.0
0.4,-4.5,-0.6054857141165506,-0.6054857141165506,1.0
0.4,-4.25,-0.5721091689817087,-0.5721091689817087,1.0
0.4,-4.0,-0.5386582885570346,-0.5386582885570346,1.0
0.4,-3.75,-0.5051826297024158,-0.5051826297024158,1.0
0.4,-3.5,-0.471682192417853,-0.471682192417853,1.0
0.4,-3.25,-0.4381321982734018,-0.4381321982734018,1.0
0.4,-3.0,-0.4045574256990064,-0.4045574256990064,1.0
0.4,-2.75,-0.3709330962647226,-0.3709330962647226,1.0
0.4,-2.5,-0.3373087668304388,-0.3373087668304388,1.0
0.4,-2.25,-0.3036348805362666,-0.3036348805362666,1.0
0.4,-2.0,-0.2699609942420943,-0.2699609942420943,1.0
0.4,-1.75,-0.2362623295179779,-0.2362623295179779,1.0
0.4,-1.5,-0.2025388863639173,-0.2025388863639173,1.0
0.4,-1.25,-0.1687906647799125,-0.1687906647799125,1.0
0.4,-1.0,-0.1350424431959077,-0.1350424431959077,1.0
0.4,-0.75,-0.1012942216119028,-0.1012942216119028,1.0
0.4,-0.5,-0.0675212215979538,-0.0675212215979538,1.0
0.4,-0.25,-0.033773000013949,-0.033773000013949,1.0
0.4,0.0,0.0,0.0,1.0
0.4,0.25,0.033773000013949,0.033773000013949,1.0
0.4,0.5,0.0675212215979538,0.0675212215979538,1.0
0.4,0.75,0.1012942216119028,0.1012942216119028,1.0
0.4,1.0,0.1350424431959077,0.1350424431959077,1.0
0.4,1.25,0.1687658863499683,0.1687658863499683,1.0
0.4,1.5,0.2024893295040289,0.2024893295040289,1.0
0.4,1.75,0.2361879942281453,0.2361879942281453,1.0
0.4,2.0,0.2698866589522617,0.2698866589522617,1.0
0.4,2.25,0.303560545246434,0.303560545246434,1.0
0.4,2.5,0.3371848746807178,0.3371848746807178,1.0
0.4,2.75,0.3708092041150016,0.3708092041150016,1.0
0.4,3.0,0.4043839766893971,0.4043839766893971,1.0
0.4,3.25,0.4379339708338481,0.4379339708338481,1.0
0.4,3.5,0.4714591865483552,0.4714591865483552,1.0
0.4,3.75,0.5049348454029737,0.5049348454029737,1.0
0.4,4.0,0.5383857258276482,0.5383857258276482,1.0
0.4,4.25,0.5717870493924341,0.5717870493924341,1.0
0.4,4.5,0.6051388160973318,0.6051388160973318,1.0
0.4,4.75,0.638441025942341,0.638441025942341,1.0
0.4,5.0,0.6717184573574059,0.6717184573574059,1.0
0.4,5.25,0.7049215534826382,0.7049215534826382,1.0
0.4,5.5,0.7380750927479822,0.7380750927479822,1.0
0.4,5.75,0.7711542967234936,0.7711542967234936,1.0
0.4,6.0,0.8041839438391164,0.8041839438391164,1.0
0.4,6.25,0.8371640340948509,0.8371640340948509,1.0
0.4,6.5,0.8700697890607529,0.8700697890607529,1.0
0.4,6.75,0.9029259871667664,0.9029259871667664,1.0
0.4,7.0,0.935683071553003,0.935683071553003,1.0
0.4,7.25,0.9683905990793514,0.9683905990793514,1.0
0.4,7.5,1.000999012885923,1.000999012885923,1.0
0.4,7.75,1.033557869832606,1.033557869832606,1.0
0.4,8.0,1.066017613059512,1.066017613059512,1.0
0.4,8.25,1.0984030209965858,1.0984030209965858,1.0
0.4,8.5,1.1306893152138826,1.1306893152138826,1.0
0.4,8.75,1.162901274141347,1.162901274141347,1.0
0.4,9.0,1.1950388977789783,1.1950388977789783,1.0
0.4,9.25,1.2270774076968334,1.2270774076968334,1.0
0.4,9.5,1.2589920254649671,1.2589920254649671,1.0
0.4,9.75,1.2908323079432684,1.2908323079432684,1.0
0.4,10.0,1.3225734767017927,1.3225734767017927,1.0
0.4,10.25,1.3542155317405402,1.3542155317405402,1.0
0.4,10.5,1.3857584730595107,1.3857584730595107,1.0
0.4,10.75,1.4171775222287608,1.4171775222287608,1.0
0.4,11.0,1.4484974576782337,1.4484974576782337,1.0
0.4,11.25,1.4796935009779857,1.4796935009779857,1.0
0.4,11.5,1.5107904305579607,1.5107904305579607,1.0
0.4,11.75,1.5417634679882146,1.5417634679882146,1.0
0.4,12.0,1.5726373916986915,1.5726373916986915,1.0
0.4,12.25,1.6033626448295035,1.6033626448295035,1.0
0.4,12.5,1.633988784240539,1.633988784240539,1.0
0.4,12.75,1.664466253071909,1.664466253071909,1.0
0.4,13.0,1.6948198297535582,1.6948198297535582,1.0
0.4,13.25,1.7250495142854865,1.7250495142854865,1.0
0.4,13.5,1.7551553066676928,1.7551553066676928,1.0
0.4,13.75,1.7851124284702349,1.7851124284702349,1.0
0.4,14.0,1.814945658123056,1.814945658123056,1.0
0.4,14.25,1.8446302171962108,1.8446302171962108,1.0
0.4,14.5,1.874166105689701,1.874166105689701,1.0
0.4,14.75,1.9035781020334703,1.9035781020334703,1.0
0.4,15.0,1.9328414277975747,1.9328414277975747,1.0
0.5,-15.0,-3.028618189917456,-3.028618189917456,1.0
0.5,-14.75,-2.982698917746668,-2.982698917746668,1.0
0.5,-14.5,-2.936508392491328,-2.936508392491328,1.0
0.5,-14.25,-2.890124115032736,-2.890124115032736,1.0
0.5,-14.0,-2.843507334930241,-2.843507334930241,1.0
0.5,-13.75,-2.796696802624494,-2.796696802624494,1.0
0.5,-13.5,-2.749653767674844,-2.749653767674844,1.0
0.5,-13.25,-2.7024169805219413,-2.7024169805219413,1.0
0.5,-13.0,-2.6549864411657875,-2.6549864411657875,1.0
0.5,-12.75,-2.60732339916573,-2.60732339916573,1.0
0.5,-12.5,-2.5594666049624206,-2.5594666049624206,1.0
0.5,-12.25,-2.511454808996509,-2.511454808996509,1.0
0.5,-12.0,-2.4632105103866957,-2.4632105103866957,1.0
0.5,-11.75,-2.41481121001428,-2.41481121001428,1.0
0.5,-11.5,-2.366218157438611,-2.366218157438611,1.0
0.5,-11.25,-2.3174313526596912,-2.3174313526596912,1.0
0.5,-11.0,-2.268489546118169,-2.268489546118169,1.0
0.5,-10.75,-2.2193539873733945,-2.2193539873733945,1.0
0.5,-10.5,-2.1700634268660184,-2.1700634268660184,1.0
0.5,-10.25,-2.1206178645960403,-2.1206178645960403,1.0
