beta_deg,M_Mach0.4,Cm_Mach0.4,M_Mach0.5,Cm_Mach0.5,M_Mach0.6,Cm_Mach0.6
4.0,0.5383857258276482,0.021728,0.8419695744530429,0.021728,1.211961327259151,0.021728
4.25,0.5717870493924341,0.023076,0.8942051684498534,0.023076,1.2871511224149559,0.023076
4.5,0.6051388160973318,0.024422,0.946363261565363,0.024422,1.3622293600111828,0.024422
4.75,0.638441025942341,0.025766,0.9984438537995721,0.025766,1.4371960400478314,0.025766
5.0,0.6717184573574059,0.027109,1.0504856955931303,0.027109,1.5121069413046906,0.027109
5.25,0.7049215534826382,0.028449,1.1024112860647373,0.028449,1.5868505062221825,0.028449
5.5,0.7380750927479822,0.029787,1.1542593756550434,0.029787,1.661482513580096,0.029787
5.75,0.7711542967234936,0.031122,1.2059912139233981,0.031122,1.7359471845986418,0.031122
6.0,0.8041839438391164,0.032455,1.257645551310452,0.032455,1.810300298057609,0.032455
6.25,0.8371640340948509,0.033786,1.3092223878162048,0.033786,1.8845418539569987,0.033786
6.5,0.8700697890607529,0.035114,1.3606829730000065,0.035114,1.9586160735170206,0.035114
6.75,0.9029259871667664,0.03644,1.4120660573025072,0.03644,2.032578735517464,0.03644
7.0,0.935683071553003,0.037762,1.4632941398424062,0.037762,2.10631828239875,0.037762
7.25,0.9683905990793514,0.039082,1.5144447215010042,0.039082,2.1799462717204587,0.039082
7.5,1.000999012885923,0.040398,1.5654403013970004,0.040398,2.253351145923011,0.040398
7.75,1.033557869832606,0.041712,1.6163583804116954,0.041712,2.3266444625659837,0.041712
8.0,1.066017613059512,0.043022,1.6671214576637887,0.043022,2.3997146640898004,0.043022
8.25,1.0984030209965858,0.044329,1.717768283593931,0.044329,2.47261752927425,0.044329
8.5,1.1306893152138826,0.045632,1.768260107761471,0.045632,2.545297279339542,0.045632
8.75,1.162901274141347,0.046932,1.81863568060706,0.046932,2.6178096930654666,0.046932
9.0,1.1950388977789785,0.048229,1.8688950021306976,0.048229,2.690154770452024,0.048229
9.25,1.2270774076968334,0.049522,1.9189993218917332,0.049522,2.7622767327194246,0.049522
9.5,1.2589920254649671,0.05081,1.9689098894495172,0.05081,2.8341198010878794,0.05081
9.75,1.2908323079432684,0.052095,2.018704205685349,0.052095,2.905795533116967,0.052095
10.0,1.3225734767017927,0.053376,2.068343520158579,0.053376,2.9772481500268975,0.053376
10.25,1.3542155317405402,0.054653,2.1178278328692075,0.054653,3.0484776518176715,0.054653
10.5,1.3857584730595107,0.055926,2.167157143817234,0.055926,3.1194840384892886,0.055926
10.75,1.4171775222287608,0.057194,2.2162927025620087,0.057194,3.1902115312619603,0.057194
11.0,1.4484974576782335,0.058458,2.265273259544182,0.058458,3.2607159089154747,0.058458
11.25,1.4796935009779855,0.059717,2.3140600643231015,0.059717,3.3309413926700433,0.059717
11.5,1.5107904305579607,0.060972,2.36269186733942,0.060972,3.4009437613054554,0.060972
11.75,1.5417634679882146,0.062222,2.4111299181524863,0.062222,3.4706672360419217,0.062222
12.0,1.5726373916986915,0.063468,2.4594129672029506,0.063468,3.540167595659231,0.063468
12.25,1.6033626448295037,0.064708,2.5074635136095127,0.064708,3.609333282597806,0.064708
12.5,1.633988784240539,0.065944,2.5553590582534724,0.065944,3.6782758544172234,0.065944
12.75,1.664466253071909,0.067174,2.6030221002535296,0.067174,3.7468837535579063,0.067174
13.0,1.6948198297535582,0.068399,2.650491390050335,0.068399,3.815212758799644,0.068399
13.25,1.7250495142854863,0.069619,2.697766927643887,0.069619,3.883262870142435,0.069619
13.5,1.7551553066676928,0.070834,2.744848713034187,0.070834,3.951034087586279,0.070834
13.75,1.7851124284702347,0.072043,2.7916979957805856,0.072043,4.01847063235139,0.072043
14.0,1.8149456581230556,0.073247,2.838353526323731,0.073247,4.085628283217554,0.073247
14.25,1.8446302171962108,0.074445,2.8847765542229733,0.074445,4.152451261404983,0.074445
14.5,1.874166105689701,0.075637,2.9309670794783136,0.075637,4.2189395669136776,0.075637
14.75,1.9035781020334706,0.076824,2.9769638525304014,0.076824,4.285148978523426,0.076824
15.0,1.9328414277975747,0.078005,3.0227281229385863,0.078005,4.351023717454439,0.078005
